"ï»_LOCATION""",INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
SVN,ROADACCID,DEATH,NBR,A,1970,620,
SVN,ROADACCID,DEATH,NBR,A,1971,644,
SVN,ROADACCID,DEATH,NBR,A,1972,625,
SVN,ROADACCID,DEATH,NBR,A,1973,701,
SVN,ROADACCID,DEATH,NBR,A,1974,557,
SVN,ROADACCID,DEATH,NBR,A,1975,596,
SVN,ROADACCID,DEATH,NBR,A,1976,587,
SVN,ROADACCID,DEATH,NBR,A,1977,680,
SVN,ROADACCID,DEATH,NBR,A,1978,729,
SVN,ROADACCID,DEATH,NBR,A,1979,735,
SVN,ROADACCID,DEATH,NBR,A,1980,558,
SVN,ROADACCID,DEATH,NBR,A,1981,565,
SVN,ROADACCID,DEATH,NBR,A,1982,569,
SVN,ROADACCID,DEATH,NBR,A,1983,527,
SVN,ROADACCID,DEATH,NBR,A,1984,492,
SVN,ROADACCID,DEATH,NBR,A,1985,464,
SVN,ROADACCID,DEATH,NBR,A,1986,504,
SVN,ROADACCID,DEATH,NBR,A,1987,558,
SVN,ROADACCID,DEATH,NBR,A,1988,551,
SVN,ROADACCID,DEATH,NBR,A,1989,554,
SVN,ROADACCID,DEATH,NBR,A,1990,517,
SVN,ROADACCID,DEATH,NBR,A,1991,462,
SVN,ROADACCID,DEATH,NBR,A,1992,492,
SVN,ROADACCID,DEATH,NBR,A,1993,493,
SVN,ROADACCID,DEATH,NBR,A,1994,505,
SVN,ROADACCID,DEATH,NBR,A,1995,415,
SVN,ROADACCID,DEATH,NBR,A,1996,389,
SVN,ROADACCID,DEATH,NBR,A,1997,357,
SVN,ROADACCID,DEATH,NBR,A,1998,309,
SVN,ROADACCID,DEATH,NBR,A,1999,334,
SVN,ROADACCID,DEATH,NBR,A,2000,313,
SVN,ROADACCID,DEATH,NBR,A,2001,278,
SVN,ROADACCID,DEATH,NBR,A,2002,268,
SVN,ROADACCID,DEATH,NBR,A,2003,242,
SVN,ROADACCID,DEATH,NBR,A,2004,274,
SVN,ROADACCID,DEATH,NBR,A,2005,258,
SVN,ROADACCID,DEATH,NBR,A,2006,262,
SVN,ROADACCID,DEATH,NBR,A,2007,293,
SVN,ROADACCID,DEATH,NBR,A,2008,214,
SVN,ROADACCID,DEATH,NBR,A,2009,171,
SVN,ROADACCID,DEATH,NBR,A,2010,138,
SVN,ROADACCID,DEATH,NBR,A,2011,141,
SVN,ROADACCID,DEATH,NBR,A,2012,130,
SVN,ROADACCID,DEATH,NBR,A,2013,125,
SVN,ROADACCID,DEATH,NBR,A,2014,108,
EST,ROADACCID,DEATH,NBR,A,1970,252,
EST,ROADACCID,DEATH,NBR,A,1971,251,
EST,ROADACCID,DEATH,NBR,A,1972,271,
EST,ROADACCID,DEATH,NBR,A,1973,249,
EST,ROADACCID,DEATH,NBR,A,1974,250,
EST,ROADACCID,DEATH,NBR,A,1975,266,
EST,ROADACCID,DEATH,NBR,A,1976,264,
EST,ROADACCID,DEATH,NBR,A,1977,276,
EST,ROADACCID,DEATH,NBR,A,1978,271,
EST,ROADACCID,DEATH,NBR,A,1979,304,
EST,ROADACCID,DEATH,NBR,A,1980,303,
EST,ROADACCID,DEATH,NBR,A,1981,266,
EST,ROADACCID,DEATH,NBR,A,1982,265,
EST,ROADACCID,DEATH,NBR,A,1983,291,
EST,ROADACCID,DEATH,NBR,A,1984,253,
EST,ROADACCID,DEATH,NBR,A,1985,191,
EST,ROADACCID,DEATH,NBR,A,1986,223,
EST,ROADACCID,DEATH,NBR,A,1987,233,
EST,ROADACCID,DEATH,NBR,A,1988,268,
EST,ROADACCID,DEATH,NBR,A,1989,343,
EST,ROADACCID,DEATH,NBR,A,1990,436,
EST,ROADACCID,DEATH,NBR,A,1991,491,
EST,ROADACCID,DEATH,NBR,A,1992,287,
EST,ROADACCID,DEATH,NBR,A,1993,321,
EST,ROADACCID,DEATH,NBR,A,1994,364,
EST,ROADACCID,DEATH,NBR,A,1995,332,
EST,ROADACCID,DEATH,NBR,A,1996,213,
EST,ROADACCID,DEATH,NBR,A,1997,279,
EST,ROADACCID,DEATH,NBR,A,1998,284,
EST,ROADACCID,DEATH,NBR,A,1999,232,
EST,ROADACCID,DEATH,NBR,A,2000,204,
EST,ROADACCID,DEATH,NBR,A,2001,199,
EST,ROADACCID,DEATH,NBR,A,2002,223,
EST,ROADACCID,DEATH,NBR,A,2003,164,
EST,ROADACCID,DEATH,NBR,A,2004,170,
EST,ROADACCID,DEATH,NBR,A,2005,170,
EST,ROADACCID,DEATH,NBR,A,2006,204,
EST,ROADACCID,DEATH,NBR,A,2007,196,
EST,ROADACCID,DEATH,NBR,A,2008,132,
EST,ROADACCID,DEATH,NBR,A,2009,100,
EST,ROADACCID,DEATH,NBR,A,2010,79,
EST,ROADACCID,DEATH,NBR,A,2011,101,
EST,ROADACCID,DEATH,NBR,A,2012,87,
EST,ROADACCID,DEATH,NBR,A,2013,81,
EST,ROADACCID,DEATH,NBR,A,2014,78,
AUT,ROADACCID,DEATH,NBR,A,1970,2507,
AUT,ROADACCID,DEATH,NBR,A,1971,2782,
AUT,ROADACCID,DEATH,NBR,A,1972,2948,
AUT,ROADACCID,DEATH,NBR,A,1973,2765,
AUT,ROADACCID,DEATH,NBR,A,1974,2499,
AUT,ROADACCID,DEATH,NBR,A,1975,2467,
AUT,ROADACCID,DEATH,NBR,A,1976,2131,
AUT,ROADACCID,DEATH,NBR,A,1977,2091,
AUT,ROADACCID,DEATH,NBR,A,1978,2112,
AUT,ROADACCID,DEATH,NBR,A,1979,2129,
AUT,ROADACCID,DEATH,NBR,A,1980,1951,
AUT,ROADACCID,DEATH,NBR,A,1981,1898,
AUT,ROADACCID,DEATH,NBR,A,1982,1883,
AUT,ROADACCID,DEATH,NBR,A,1983,1967,
AUT,ROADACCID,DEATH,NBR,A,1984,1814,
AUT,ROADACCID,DEATH,NBR,A,1985,1524,
AUT,ROADACCID,DEATH,NBR,A,1986,1495,
AUT,ROADACCID,DEATH,NBR,A,1987,1469,
AUT,ROADACCID,DEATH,NBR,A,1988,1620,
AUT,ROADACCID,DEATH,NBR,A,1989,1570,
AUT,ROADACCID,DEATH,NBR,A,1990,1558,
AUT,ROADACCID,DEATH,NBR,A,1991,1551,
